name,time,price,location
"Mlade muce, PODARIMO",07.11.2021.,0,"Podčetrtek, Podčetrtek"
mucica - punčka,07.11.2021.,0,"Grosuplje, Grosuplje"
Britanka,07.11.2021.,300,"Moravske Toplice, Lukačevci"
Podarim 2 mlada mucka,07.11.2021.,0,"Radovljica, Globoko"
"Vinji vrh 12, Smarjeske toplice",07.11.2021.,900,"Šmarješke Toplice, Šmarješke Toplice"
Oranžna tigrasta muca,07.11.2021.,0,"Nova Gorica, Prvačina"
mainecoon,07.11.2021.,120,"Ljubljana Vič Rudnik, Rudnik"
Podarimo muce,07.11.2021.,0,"Metlika, Gornje Dobravice"
Ragdolls,07.11.2021.,800,"Dravograd, Dravograd"
mucki,07.11.2021.,0,"Domžale, Domžale"
JON (rezerviran),07.11.2021.,Cena po dogovoru,"Šentjur, Dramlje"
britanka  tricolor mačka britanke,06.11.2021.,450,"Logatec, Logatec"
Ragdol mladički,06.11.2021.,Cena po dogovoru,"Loška dolina, Stari trg pri Ložu"
"Pikica, Rika in Žana iščejo domove",06.11.2021.,0,"Dobrepolje, Predstruge"
Ricky in Nicky iščeta dom,06.11.2021.,0,"Kočevje, Mahovnik"
Muri išče dom,06.11.2021.,0,"Kočevje, Mahovnik"
Aska išče dom,06.11.2021.,0,"Kočevje, Mahovnik"
Amie in Alice iščeta nov dom,06.11.2021.,0,"Kočevje, Mahovnik"
Dolgodlaki mucki,06.11.2021.,180,"Kranj, Kranj"
Britanka britanec parjenje,06.11.2021.,Cena po dogovoru,"Krško, Libna"
Britanski mladički,06.11.2021.,Cena po dogovoru,"Ljubljana Šiška, Šiška"
Podarim tigrastega muca Ibis-a,05.11.2021.,0,"Rače, Rače"
Bengalska mačka,05.11.2021.,Cena po dogovoru,"Vojnik, Vojnik"
